PERDIDAS Y GANANCIAS,,,,,,,,,,,,,,,,,,,,,,
Empresa,Nuclio Digital Sxhool S.L.,,,,,,,,,,,,,,,,,,,,,
Fecha,2020,,,,,,,,,,,,,,,,,,,,,
,,,Jan 2020,Feb 2020,Mar 2020,,,Apr 2020,May 2020,Jun 2020,,,Jul 2020,Aug 2020,Sep 2020,,,Oct 2020,Nov 2020,Dec 2020,,
,EBITDA,,"1,765.23 €","11,783.25 €","-38,294.85 €",,,"3,111.91 €","-32,912.41 €",0.00 €,,,0.00 €,0.00 €,0.00 €,,,0.00 €,0.00 €,0.00 €,,
,,,,,,,,,,,,,,,,,,,,,,
,,,1er TRIM,,,,,2on TRIM,,,,,3er TRIM,,,,,4t TRIM,,,,
,CODIGO      ,DESCRIPCION ,ENERO,FEBRERO,MARZO,ACUMUL.,%,ABRIL,MAIG,JUNY,ACUMUL.,%,JULIOL,AGOST,SETEMBRE,ACUMUL.,%,OCTUBRE,NOVEMBRE,DESEMBRE,ACUMUL.,%
,,,,,,,,,,,,,,,,,,,,,,
,6,COMPRAS Y GASTOS,"112,993.99","101,676.64","104,273.60","318,944.23",,"85,881.75","112,879.08",0.00,"198,760.83",,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
,62,SERVICIOS EXTERIORES,"76,259.97","63,318.73","67,207.49","206,786.19",,"45,972.88","76,344.93",0.00,"122,317.81",,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
,621,Arrendamientos y cánones                          ,"3,565.23","3,471.24","4,027.46","11,063.93",,"7,706.94","8,355.13",0.00,"16,062.07",,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
,621000000,Alquiler oficina                                  ,"3,267.00","3,267.00","3,267.00","9,801.00",,"7,502.00","7,502.00",0.00,"15,004.00",,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
,621000001,Hosting                                           ,35.90,35.90,36.22,108.02,,35.80,0.00,0.00,35.80,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
,621000002,IT Infraestructura,262.33,168.34,724.24,"1,154.91",,169.14,853.13,0.00,"1,022.27",,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
,622,Reparación y conservación,"1,210.00",120.00,0.00,"1,330.00",,0.00,474.32,0.00,474.32,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
