Contact ID;Master;Recent Conversion;Original Source Drill-Down 2;Original Source Drill-Down 1;Original Source;IP Country;Momento
19091651;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0920_general_abril;Facebook;Paid Social;;
19090851;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19090051;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19089851;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19089251;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19088051;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países-landing_febrero;Facebook;Paid Social;saudi arabia;
19087651;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;
19087401;;;FacebookMessenger;SOCIAL;Offline Sources;;
19086801;;;36503;INTEGRATION;Offline Sources;;
19086351;Digital Product Management - Streaming;Facebook Lead Ads: DPM Streaming Julio;dpm0920_streaming-general_julio;Facebook;Paid Social;;
19085001;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;
19084201;;;36503;INTEGRATION;Offline Sources;;
19083651;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19083551;;;36503;INTEGRATION;Offline Sources;;
19083501;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;;
19083351;;;EMAIL_INTEGRATION;SALES;Offline Sources;;
19083051;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;turkey;
19082751;;;CRM_UI;CONTACTS;Offline Sources;;
19082451;Bilbao - Digital Traffic Management;Facebook Lead Ads: DTM Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19081201;;;Zoom Integration;INTEGRATION;Offline Sources;;
19080851;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;;
